Nombre  |  Kb  |  Fecha Modificacion
bink2w64.dll  |  417,50 Kb  |  25/7/2024 15:39:49
cudart64_75.dll  |  352,28 Kb  |  25/7/2024 15:39:49
CustomControlMap.txt  |  7,88 Kb  |  25/7/2024 17:19:21
EULA.txt  |  38,80 Kb  |  25/7/2024 17:19:56
f4se_1_10_163.dll  |  847,00 Kb  |  25/7/2024 17:04:35
f4se_loader.exe  |  219,00 Kb  |  25/7/2024 17:04:35
f4se_readme.txt  |  3,27 Kb  |  25/7/2024 17:19:56
f4se_steam_loader.dll  |  172,50 Kb  |  25/7/2024 17:04:35
f4se_whatsnew.txt  |  11,52 Kb  |  25/7/2024 17:19:56
Fallout4.ccc  |  4,51 Kb  |  25/7/2024 15:39:49
Fallout4.exe  |  63789,00 Kb  |  25/7/2024 15:46:46
Fallout4Launcher.exe  |  4416,50 Kb  |  25/7/2024 15:39:49
Fallout4_Default.ini  |  2,41 Kb  |  25/7/2024 15:47:47
flexExtRelease_x64.dll  |  345,00 Kb  |  25/7/2024 15:39:49
flexRelease_x64.dll  |  1269,50 Kb  |  25/7/2024 15:39:49
Galaxy64.dll  |  14916,50 Kb  |  25/7/2024 15:39:49
GFSDK_GodraysLib.x64.dll  |  340,00 Kb  |  25/7/2024 15:39:49
GFSDK_SSAO_D3D11.win64.dll  |  537,50 Kb  |  25/7/2024 15:39:49
gog.ico  |  67,62 Kb  |  28/9/2017 06:12:26
goggame-1491728574.ico  |  146,84 Kb  |  24/7/2024 05:47:10
goggame-1491728574.info  |  1,22 Kb  |  25/7/2024 17:16:53
goggame-1998527297.ico  |  151,16 Kb  |  16/8/2023 04:28:30
goggame-1998527297.info  |  1,31 Kb  |  25/7/2024 15:49:15
goggame-1998527297.script  |  1,96 Kb  |  25/7/2024 15:49:15
High.ini  |  1,19 Kb  |  25/7/2024 15:39:49
installer.exe  |  22999,00 Kb  |  25/7/2024 17:04:35
installer.exe-LICENCE.txt  |  1,62 Kb  |  25/7/2024 17:19:56
Low.ini  |  1,18 Kb  |  25/7/2024 15:39:49
Medium.ini  |  1,19 Kb  |  25/7/2024 15:39:49
msvcp110.dll  |  645,95 Kb  |  25/7/2024 15:39:49
msvcr110.dll  |  829,45 Kb  |  25/7/2024 15:39:49
nvdebris.txt  |  6,41 Kb  |  25/7/2024 15:39:49
nvToolsExt64_1.dll  |  41,50 Kb  |  25/7/2024 15:39:49
steam_api64.dll  |  788,50 Kb  |  25/7/2024 15:39:49
support.ico  |  61,42 Kb  |  26/8/2019 11:19:10
Ultra.ini  |  1,20 Kb  |  25/7/2024 15:39:49
unins000.dat  |  117,27 Kb  |  19/2/2026 01:22:24
unins000.exe  |  1480,36 Kb  |  19/2/2026 01:21:22
_Recommended Mods.txt  |  4,78 Kb  |  26/7/2024 12:48:24
__fallout-4-install-dir.egg  |  0,02 Kb  |  19/2/2026 01:22:26
